date,nav
31-05-2021,12.71020
28-05-2021,12.70690
27-05-2021,12.70580
25-05-2021,12.70350
24-05-2021,12.70230
21-05-2021,12.69890
20-05-2021,12.69780
19-05-2021,12.69660
18-05-2021,12.69560
17-05-2021,12.69450
14-05-2021,12.69110
12-05-2021,12.68890
11-05-2021,12.68760
10-05-2021,12.68650
07-05-2021,12.68330
06-05-2021,12.68200
05-05-2021,12.68090
04-05-2021,12.67980
03-05-2021,12.67870
30-04-2021,12.67560
29-04-2021,12.67460
28-04-2021,12.67370
27-04-2021,12.67240
26-04-2021,12.67150
23-04-2021,12.66780
22-04-2021,12.66640
20-04-2021,12.66440
19-04-2021,12.66320
16-04-2021,12.65950
15-04-2021,12.65870
12-04-2021,12.65490
09-04-2021,12.65160
08-04-2021,12.65140
07-04-2021,12.65040
06-04-2021,12.64940
05-04-2021,12.64800
31-03-2021,12.64180
30-03-2021,12.64000
26-03-2021,12.63520
25-03-2021,12.63370
24-03-2021,12.63230
23-03-2021,12.63100
22-03-2021,12.62940
19-03-2021,12.62600
18-03-2021,12.62450
17-03-2021,12.62330
16-03-2021,12.62200
15-03-2021,12.62080
12-03-2021,12.61760
10-03-2021,12.61540
09-03-2021,12.61370
08-03-2021,12.61280
05-03-2021,12.60960
04-03-2021,12.60890
03-03-2021,12.60870
02-03-2021,12.60760
01-03-2021,12.60650
26-02-2021,12.60320
25-02-2021,12.60370
24-02-2021,12.60220
23-02-2021,12.60000
22-02-2021,12.59930
18-02-2021,12.59450
17-02-2021,12.59300
16-02-2021,12.59090
15-02-2021,12.58940
12-02-2021,12.58580
11-02-2021,12.58440
10-02-2021,12.58240
09-02-2021,12.58070
08-02-2021,12.57960
05-02-2021,12.57540
04-02-2021,12.57390
03-02-2021,12.57260
02-02-2021,12.57160
01-02-2021,12.57050
29-01-2021,12.56680
28-01-2021,12.56490
27-01-2021,12.56390
25-01-2021,12.56110
22-01-2021,12.55810
21-01-2021,12.55730
20-01-2021,12.55640
19-01-2021,12.55430
18-01-2021,12.55390
15-01-2021,12.55130
14-01-2021,12.55010
13-01-2021,12.55020
12-01-2021,12.54890
11-01-2021,12.54780
08-01-2021,12.54790
07-01-2021,12.54680
06-01-2021,12.54590
05-01-2021,12.54520
04-01-2021,12.54360
01-01-2021,12.53930
31-12-2020,12.53780
30-12-2020,12.53620
29-12-2020,12.53490
28-12-2020,12.53310
24-12-2020,12.52820
23-12-2020,12.52690
22-12-2020,12.52480
21-12-2020,12.52350
18-12-2020,12.51950
17-12-2020,12.51830
16-12-2020,12.51730
15-12-2020,12.51680
14-12-2020,12.51570
11-12-2020,12.51180
10-12-2020,12.51140
09-12-2020,12.51000
08-12-2020,12.50850
07-12-2020,12.50780
04-12-2020,12.50410
03-12-2020,12.50240
02-12-2020,12.50180
01-12-2020,12.50290
27-11-2020,12.49950
26-11-2020,12.49830
25-11-2020,12.49670
24-11-2020,12.49440
23-11-2020,12.49230
20-11-2020,12.48750
19-11-2020,12.48540
18-11-2020,12.48350
17-11-2020,12.48080
13-11-2020,12.47570
12-11-2020,12.47440
11-11-2020,12.47150
10-11-2020,12.47010
09-11-2020,12.46910
06-11-2020,12.46520
05-11-2020,12.46410
04-11-2020,12.46370
03-11-2020,12.46260
02-11-2020,12.46120
29-10-2020,12.45740
28-10-2020,12.45610
27-10-2020,12.45490
26-10-2020,12.45360
23-10-2020,12.44930
22-10-2020,12.44890
21-10-2020,12.44730
20-10-2020,12.44580
19-10-2020,12.44410
16-10-2020,12.43900
15-10-2020,12.43700
14-10-2020,12.43530
13-10-2020,12.43160
12-10-2020,12.43030
09-10-2020,12.42580
08-10-2020,12.42210
07-10-2020,12.42000
06-10-2020,12.41190
05-10-2020,12.40790
01-10-2020,12.40120
30-09-2020,12.39920
29-09-2020,12.39740
28-09-2020,12.39720
25-09-2020,12.39340
24-09-2020,12.39320
23-09-2020,12.39180
22-09-2020,12.39100
21-09-2020,12.38960
18-09-2020,12.38570
17-09-2020,12.38360
16-09-2020,12.38130
15-09-2020,12.37920
14-09-2020,12.37840
11-09-2020,12.37230
10-09-2020,12.37200
09-09-2020,12.36960
08-09-2020,12.36770
07-09-2020,12.36710
04-09-2020,12.36460
03-09-2020,12.36300
02-09-2020,12.36140
01-09-2020,12.36030
31-08-2020,12.35600
28-08-2020,12.35080
27-08-2020,12.35160
26-08-2020,12.35080
25-08-2020,12.35000
24-08-2020,12.35010
21-08-2020,12.34780
20-08-2020,12.34680
19-08-2020,12.34410
18-08-2020,12.34150
17-08-2020,12.34060
14-08-2020,12.33570
13-08-2020,12.33420
12-08-2020,12.33290
11-08-2020,12.33060
10-08-2020,12.32790
07-08-2020,12.32730
06-08-2020,12.32730
05-08-2020,12.32520
04-08-2020,12.32400
03-08-2020,12.32210
31-07-2020,12.31860
30-07-2020,12.31680
29-07-2020,12.31360
28-07-2020,12.31280
27-07-2020,12.31240
24-07-2020,12.30870
23-07-2020,12.30900
22-07-2020,12.30740
21-07-2020,12.30460
20-07-2020,12.30500
17-07-2020,12.30060
16-07-2020,12.29860
15-07-2020,12.29630
14-07-2020,12.29480
13-07-2020,12.29020
10-07-2020,12.28500
09-07-2020,12.28140
08-07-2020,12.27500
07-07-2020,12.27100
06-07-2020,12.26910
03-07-2020,12.26300
02-07-2020,12.25270
01-07-2020,12.24660
30-06-2020,12.24390
29-06-2020,12.24210
26-06-2020,12.23980
25-06-2020,12.23030
24-06-2020,12.22720
23-06-2020,12.22390
22-06-2020,12.21940
19-06-2020,12.21460
18-06-2020,12.21240
17-06-2020,12.20390
16-06-2020,12.20130
15-06-2020,12.19640
12-06-2020,12.18710
11-06-2020,12.18500
10-06-2020,12.17360
09-06-2020,12.17000
08-06-2020,12.16770
05-06-2020,12.16560
04-06-2020,12.16400
03-06-2020,12.16350
02-06-2020,12.15900
01-06-2020,12.15850
29-05-2020,12.15800
28-05-2020,12.16150
27-05-2020,12.15110
26-05-2020,12.14620
22-05-2020,12.13590
21-05-2020,12.11270
20-05-2020,12.10520
19-05-2020,12.10010
18-05-2020,12.09190
15-05-2020,12.07590
14-05-2020,12.07110
13-05-2020,12.06400
12-05-2020,12.06090
11-05-2020,12.04960
08-05-2020,12.04880
06-05-2020,12.03600
05-05-2020,12.03140
04-05-2020,12.02500
30-04-2020,12.01280
29-04-2020,12.01250
28-04-2020,12.00100
27-04-2020,12.00950
24-04-2020,12.01050
23-04-2020,12.01510
22-04-2020,11.99790
21-04-2020,11.99190
20-04-2020,11.98470
17-04-2020,11.96360
16-04-2020,11.94090
15-04-2020,11.92980
13-04-2020,11.92210
09-04-2020,11.91410
08-04-2020,11.91510
07-04-2020,11.92030
03-04-2020,11.91610
31-03-2020,11.90900
30-03-2020,11.89950
27-03-2020,11.88940
26-03-2020,11.78660
24-03-2020,11.77580
23-03-2020,11.78670
20-03-2020,11.80520
19-03-2020,11.79070
18-03-2020,11.83380
17-03-2020,11.85240
16-03-2020,11.86510
13-03-2020,11.86320
12-03-2020,11.87280
11-03-2020,11.87810
09-03-2020,11.88530
06-03-2020,11.88040
05-03-2020,11.87710
04-03-2020,11.87490
03-03-2020,11.86360
02-03-2020,11.86240
28-02-2020,11.85810
27-02-2020,11.86070
26-02-2020,11.85890
25-02-2020,11.85410
24-02-2020,11.85290
20-02-2020,11.84360
18-02-2020,11.84130
17-02-2020,11.84050
14-02-2020,11.83540
13-02-2020,11.83470
12-02-2020,11.83130
11-02-2020,11.83120
10-02-2020,11.82670
07-02-2020,11.81660
06-02-2020,11.81040
05-02-2020,11.78840
04-02-2020,11.78460
03-02-2020,11.78210
31-01-2020,11.77270
30-01-2020,11.77080
29-01-2020,11.76930
28-01-2020,11.76660
27-01-2020,11.76420
24-01-2020,11.75360
23-01-2020,11.74570
22-01-2020,11.74250
21-01-2020,11.73790
20-01-2020,11.73540
17-01-2020,11.72910
16-01-2020,11.72700
15-01-2020,11.72540
14-01-2020,11.72390
13-01-2020,11.72510
10-01-2020,11.71920
09-01-2020,11.71860
08-01-2020,11.71530
07-01-2020,11.70900
06-01-2020,11.70800
03-01-2020,11.70420
02-01-2020,11.69770
01-01-2020,11.69540
31-12-2019,11.68720
30-12-2019,11.68580
27-12-2019,11.68090
26-12-2019,11.67870
24-12-2019,11.67590
23-12-2019,11.67610
20-12-2019,11.67480
19-12-2019,11.66960
18-12-2019,11.66550
17-12-2019,11.65670
16-12-2019,11.65300
13-12-2019,11.64510
12-12-2019,11.64330
11-12-2019,11.63990
10-12-2019,11.64090
09-12-2019,11.63760
06-12-2019,11.63840
05-12-2019,11.64350
04-12-2019,11.65670
03-12-2019,11.65330
02-12-2019,11.64900
29-11-2019,11.64250
28-11-2019,11.64010
27-11-2019,11.63610
26-11-2019,11.63150
25-11-2019,11.62910
22-11-2019,11.62260
21-11-2019,11.62030
20-11-2019,11.61560
19-11-2019,11.61130
18-11-2019,11.60970
15-11-2019,11.60270
14-11-2019,11.59810
13-11-2019,11.59400
11-11-2019,11.58850
08-11-2019,11.58450
07-11-2019,11.58340
06-11-2019,11.58290
05-11-2019,11.58310
04-11-2019,11.58360
01-11-2019,11.57660
31-10-2019,11.57210
30-10-2019,11.56040
29-10-2019,11.55430
25-10-2019,11.54570
24-10-2019,11.54570
23-10-2019,11.54230
22-10-2019,11.53800
18-10-2019,11.52840
17-10-2019,11.52610
16-10-2019,11.52430
15-10-2019,11.51860
14-10-2019,11.51450
11-10-2019,11.50760
10-10-2019,11.50170
09-10-2019,11.49840
07-10-2019,11.49000
04-10-2019,11.48140
03-10-2019,11.47910
01-10-2019,11.46270
30-09-2019,11.45420
27-09-2019,11.44510
26-09-2019,11.44350
25-09-2019,11.44210
24-09-2019,11.43750
23-09-2019,11.44030
20-09-2019,11.43540
19-09-2019,11.44950
18-09-2019,11.44630
17-09-2019,11.43870
16-09-2019,11.43890
13-09-2019,11.43740
12-09-2019,11.43470
11-09-2019,11.43110
09-09-2019,11.43050
06-09-2019,11.41870
05-09-2019,11.41500
04-09-2019,11.41440
03-09-2019,11.40880
30-08-2019,11.39530
29-08-2019,11.39440
28-08-2019,11.39170
27-08-2019,11.38700
26-08-2019,11.38280
23-08-2019,11.37280
22-08-2019,11.36920
21-08-2019,11.36360
20-08-2019,11.35670
19-08-2019,11.35150
16-08-2019,11.34670
14-08-2019,11.33600
13-08-2019,11.34170
09-08-2019,11.33530
08-08-2019,11.33860
07-08-2019,11.32210
06-08-2019,11.31320
