,schemeCode,schemeName
0,100027,Grindlays Super Saver Income Fund-GSSIF-Half Yearly Dividend
1,100028,Grindlays Super Saver Income Fund-GSSIF-Quaterly Dividend
2,100029,Grindlays Super Saver Income Fund-GSSIF-Growth
3,100030,Grindlays Super Saver Income Fund-GSSIF-Annual Dividend
4,100031,Grindlays Super Saver Income Fund-GSSIF - ST-Dividend
5,100032,Grindlays Super Saver Income Fund-GSSIF - ST-Growth
6,100033,Aditya Birla Sun Life Equity Advantage Fund - Regular Growth
7,100034,Aditya Birla Sun Life Equity Advantage Fund -Regular Dividend
8,100034,Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW
9,100035,Birla Sun Life Freedom Fund-Plan A (Dividend)
10,100036,Birla Sun Life Freedom Fund-Plan B (Growth)
11,100037,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW
12,100037,Aditya Birla Sun Life Income Fund - Quarterly Dividend - Regular Plan
13,100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan
14,100041,Aditya Birla Sun Life Liquid Fund - Institutional Dividend
15,100041,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW
16,100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth)
17,100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth)
18,100044,Aditya Birla Sun Life Liquid Fund -Retail - IDCW
19,100044,Aditya Birla Sun Life Liquid Fund-Retail (Dividend)
20,100046,Aditya Birla Sun Life Liquid Fund -Daily IDCW
21,100046,Aditya Birla Sun Life Liquid Fund - Daily Dividend
22,100047,Aditya Birla Sun Life Liquid Fund - Growth
23,100048,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW
24,100048,Aditya Birla Sun Life Liquid Fund-Institutional -  Weekly Dividend
25,100049,Aditya Birla Sun Life Cash Plus-Institutional - Fortnightly Dividend
26,100051,Aditya Birla Sun Life Liquid Fund - Weekly Dividend
27,100051,Aditya Birla Sun Life Liquid Fund -weekly IDCW
28,100052,Aditya Birla Sun Life Cash Plus-Institutional Premium - Fortnightly Dividend
29,100053,Aditya Birla Sun Life Cash Plus-Institutional Premium Plan-Monthly Dividend
